PRODUCTNAME,PRECO_TABELADO,DESCONTO_UNITARIO,PRECO_FINAL_UNIT,QUANTIDADE,VALOR_TOTAL
Cte de Blaye,263.5,52.7,210.8,269,56705.0
Thringer Rostbratwurst,123.79,24.79,99.0,186,18414.0
Mishi Kobe Niku,97.0,19.4,77.6,20,1552.0
Sir Rodney's Marmalade,81.0,16.2,64.8,106,6869.0
Carnarvon Tigers,62.5,12.5,50.0,136,6800.0
Raclette Courdavault,55.0,11.0,44.0,544,23936.0
Manjimup Dried Apples,53.0,10.6,42.4,209,8862.0
Tarte au sucre,49.3,9.9,39.4,360,14184.0
Rssle Sauerkraut,45.6,9.2,36.4,252,9173.0
Ipoh Coffee,46.0,9.2,36.8,174,6403.0
Vegie-spread,43.9,8.8,35.1,209,7336.0
Schoggi Schokolade,43.9,8.8,35.1,90,3159.0
Northwoods Cranberry Sauce,40.0,8.0,32.0,140,4480.0
Alice Mutton,39.0,7.8,31.2,341,10639.0
Queso Manchego La Pastora,38.0,7.6,30.4,27,821.0
Gnocchi di nonna Alice,38.0,7.6,30.4,378,11491.0
Gudbrandsdalsost,36.0,7.2,28.8,194,5587.0
Mozzarella di Giovanni,34.8,7.0,27.8,330,9174.0
Queso Cabrales,21.0,7.0,14.0,12,168.0
Camembert Pierrot,34.0,6.8,27.2,490,13328.0
Wimmers gute Semmelkndel,33.25,6.65,26.6,240,6384.0
Perth Pasties,32.8,6.6,26.2,329,8620.0
Mascarpone Fabioli,32.0,6.4,25.6,52,1331.0
Gumbr Gummibrchen,31.23,6.33,24.9,313,7794.0
Ikura,31.0,6.2,24.8,139,3447.0
Uncle Bob's Organic Dried Pears,30.0,6.0,24.0,71,1704.0
Sirop d'rable,28.5,5.7,22.8,131,2987.0
Gravad lax,26.0,5.2,20.8,39,811.0
Nord-Ost Matjeshering,25.89,5.19,20.7,206,4264.0
Grandma's Boysenberry Spread,25.0,5.0,20.0,36,720.0
Pt chinois,24.0,4.8,19.2,450,8640.0
Tofu,23.25,4.65,18.6,164,3050.0
Chef Anton's Cajun Seasoning,22.0,4.4,17.6,123,2165.0
Chef Anton's Gumbo Mix,21.35,4.35,17.0,129,2193.0
Flotemysost,21.5,4.3,17.2,430,7396.0
Louisiana Fiery Hot Pepper Sauce,21.05,4.25,16.8,253,4250.0
Queso Cabrales,21.0,4.2,16.8,200,3360.0
Singaporean Hokkien Fried Mee,14.0,4.2,9.8,10,98.0
Gustaf's Knckebrd,21.0,4.2,16.8,18,302.0
Maxilaku,20.0,4.0,16.0,225,3600.0
Gula Malacca,19.45,3.95,15.5,295,4573.0
Ravioli Angelo,19.5,3.9,15.6,168,2621.0
Inlagd Sill,19.0,3.8,15.2,198,3010.0
Chang,19.0,3.8,15.2,401,6095.0
Boston Crab Meat,18.4,3.7,14.7,337,4954.0
Chai,18.0,3.6,14.4,174,2506.0
Steeleye Stout,18.0,3.6,14.4,377,5429.0
Lakkalikri,18.0,3.6,14.4,240,3456.0
Chartreuse verte,18.0,3.6,14.4,312,4493.0
Pavlova,17.45,3.55,13.9,411,5713.0
Louisiana Hot Spiced Okra,17.0,3.4,13.6,160,2176.0
Valkoinen suklaa,16.25,3.25,13.0,95,1235.0
Genen Shouyu,15.5,3.1,12.4,25,310.0
Rd Kaviar,15.0,3.0,12.0,65,780.0
Outback Lager,15.0,3.0,12.0,261,3132.0
Sasquatch Ale,14.0,2.8,11.2,145,1624.0
NuNuCa Nu-Nougat-Creme,14.0,2.8,11.2,143,1602.0
Laughing Lumberjack Lager,14.0,2.8,11.2,5,56.0
Singaporean Hokkien Fried Mee,14.0,2.8,11.2,137,1534.0
Escargots de Bourgogne,13.25,2.65,10.6,155,1643.0
Original Frankfurter grne Soe,13.0,2.6,10.4,230,2392.0
Chocolade,12.75,2.55,10.2,85,867.0
Gorgonzola Telino,12.5,2.5,10.0,516,5160.0
Scottish Longbreads,12.5,2.5,10.0,250,2500.0
Spegesild,12.0,2.4,9.6,180,1728.0
Sir Rodney's Scones,10.0,2.0,8.0,262,2096.0
Longlife Tofu,10.0,2.0,8.0,202,1616.0
Aniseed Syrup,10.0,2.0,8.0,100,800.0
Jack's New England Clam Chowder,9.65,1.95,7.7,189,1455.0
Rogede sild,9.5,1.9,7.6,45,342.0
Zaanse koeken,9.5,1.9,7.6,131,996.0
Teatime Chocolate Biscuits,9.2,1.9,7.3,259,1891.0
Tunnbrd,9.0,1.8,7.2,211,1519.0
Tourtire,7.45,1.55,5.9,325,1918.0
Rhnbru Klosterbier,7.75,1.55,6.2,194,1203.0
Filo Mix,7.0,1.4,5.6,83,465.0
Konbu,6.0,1.2,4.8,93,446.0
Guaran Fantstica,4.5,0.9,3.6,311,1120.0
Geitost,2.5,0.5,2.0,348,696.0
