categoryname,ano,quantidade,valor
Dairy Products,2020,2086,3874953.6
Beverages,2020,1842,3746259.6
Confections,2020,1357,1809423.8
Seafood,2020,1286,1204081.8
Condiments,2020,962,678787.2
Dairy Products,2021,4374,22176180.0
Confections,2021,4137,14676545.31
Beverages,2021,3996,20213166.6
Seafood,2021,3679,11839095.58
Condiments,2021,2895,6403305.75
Beverages,2022,3694,17433833.0
Seafood,2022,2716,5802625.36
Dairy Products,2022,2689,7927709.8
Confections,2022,2412,6435867.24
Condiments,2022,1441,2432191.85
